;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
4941;4942;93.0;1.0;USA;18000000.0;;14193;106.0;130.0;0;261.0;783.0;782.0;697.0;3700;6.1;Good
908;909;172.0;1.0;USA;55000000.0;22843047.0;6082;207.0;78.0;853;438.0;852.0;637.0;466.0;2397;5.9;Fair
2057;2058;126.0;1.0;USA;23000000.0;25556065.0;355126;748.0;574.0;148000;0.0;19000.0;128.0;105.0;19359;8.0;Good
4124;4125;86.0;0.0;Ireland;;128937.0;2437;31.0;90.0;580;0.0;767.0;122.0;77.0;975;6.2;Good
616;617;136.0;7.0;USA;75000000.0;38509342.0;61995;356.0;360.0;33000;163.0;394.0;217.0;66.0;712;5.9;Fair
3301;3302;114.0;2.0;USA;;3420871.0;14100;81.0;46.0;0;6.0;970.0;906.0;633.0;3824;7.4;Good
4238;4239;115.0;0.0;USA;;510092.0;29424;336.0;76.0;0;184.0;730.0;648.0;551.0;3293;7.0;Good
545;546;142.0;1.0;USA;70000000.0;43426961.0;93494;394.0;89.0;0;845.0;13000.0;1000.0;787.0;16580;6.6;Good
153;154;95.0;0.0;USA;145000000.0;143523463.0;64322;145.0;210.0;24000;5.0;24000.0;11000.0;967.0;36095;7.2;Good
4737;4738;101.0;0.0;USA;500000.0;1111615.0;651;34.0;3.0;44;0.0;69.0;34.0;17.0;155;6.0;Fair
2999;3000;86.0;0.0;USA;12000000.0;333976.0;12559;90.0;72.0;423;94.0;693.0;534.0;146.0;1373;6.4;Good
3266;3267;197.0;0.0;USA;9400000.0;46300000.0;29323;344.0;61.0;0;176.0;924.0;898.0;760.0;4109;7.6;Good
2124;2125;120.0;1.0;France;16000000.0;634277.0;5166;27.0;78.0;815;2.0;809.0;521.0;80.0;1651;7.3;Good
85;86;136.0;1.0;USA;170000000.0;259746958.0;496749;742.0;576.0;55000;94.0;19000.0;11000.0;2000.0;36188;7.8;Good
144;145;111.0;4.0;USA;150000000.0;34964818.0;39956;186.0;256.0;24000;456.0;20000.0;548.0;394.0;21393;5.8;Fair
4452;4453;101.0;;USA;2000000.0;;162;8.0;9.0;724;20.0;1000.0;301.0;256.0;2419;4.8;Fair
843;844;74.0;3.0;USA;55000000.0;104354205.0;162331;332.0;153.0;0;58.0;3000.0;864.0;729.0;5713;6.3;Good
2506;2507;112.0;4.0;USA;17000000.0;64998368.0;213898;250.0;223.0;36000;36.0;10000.0;751.0;746.0;12676;7.2;Good
1919;1920;97.0;3.0;South Africa;25000000.0;45089048.0;86251;260.0;198.0;58000;176.0;12000.0;11000.0;10000.0;36064;6.5;Good
5013;5014;80.0;0.0;Canada;;;15091;129.0;58.0;0;892.0;986.0;918.0;492.0;3197;6.3;Good
996;997;129.0;0.0;USA;50000000.0;32741596.0;80140;323.0;315.0;16000;16000.0;13000.0;563.0;447.0;14344;6.5;Good
858;859;97.0;1.0;USA;55000000.0;63408614.0;75365;149.0;45.0;0;96.0;13000.0;549.0;403.0;14432;6.3;Good
4400;4401;110.0;0.0;USA;26000000.0;58885635.0;194426;1057.0;287.0;7000;0.0;3000.0;2000.0;1000.0;10438;7.4;Good
3727;3728;104.0;9.0;USA;4500000.0;23031390.0;4345;26.0;22.0;575;0.0;1000.0;597.0;498.0;2868;5.6;Fair
2360;2361;91.0;0.0;USA;20000000.0;41867960.0;65512;478.0;149.0;0;17.0;1000.0;795.0;670.0;3023;5.5;Fair
951;952;128.0;0.0;USA;;75888270.0;71153;560.0;196.0;0;62.0;6000.0;989.0;874.0;10163;5.4;Fair
689;690;100.0;0.0;Canada;43000000.0;24407944.0;71202;380.0;196.0;0;38.0;3000.0;1000.0;1000.0;7048;4.8;Fair
731;732;125.0;1.0;USA;60000000.0;75764085.0;85844;322.0;121.0;0;420.0;12000.0;3000.0;627.0;16646;6.7;Good
384;385;132.0;0.0;USA;100000000.0;58220776.0;87785;362.0;93.0;0;0.0;49000.0;1000.0;957.0;55254;6.8;Good
677;678;96.0;0.0;Germany;65000000.0;42345531.0;104831;423.0;239.0;32000;545.0;14000.0;1000.0;974.0;17913;5.4;Fair
3722;3723;77.0;1.0;USA;5000000.0;19421271.0;2448;18.0;28.0;122;0.0;2000.0;804.0;73.0;2908;5.0;Fair
4764;4765;103.0;3.0;UK;;;26863;54.0;48.0;0;21.0;25000.0;766.0;680.0;26999;7.2;Good
4773;4774;90.0;0.0;USA;;;30;1.0;1.0;70;0.0;84.0;41.0;33.0;254;8.3;Excellent
4816;4817;90.0;0.0;USA;350000.0;4000000.0;6046;46.0;40.0;583;44.0;615.0;96.0;93.0;872;4.7;Fair
356;357;90.0;1.0;USA;100000000.0;124870275.0;152601;156.0;191.0;0;97.0;622.0;526.0;56.0;1227;7.0;Good
963;964;101.0;1.0;USA;50000000.0;66002004.0;36431;168.0;117.0;1000;23.0;660.0;651.0;541.0;2177;4.7;Fair
729;730;132.0;0.0;USA;61000000.0;81687587.0;138246;360.0;249.0;24000;47.0;988.0;960.0;240.0;2517;6.4;Good
2984;2985;113.0;0.0;Australia;12000000.0;4717455.0;18632;354.0;138.0;656;319.0;1000.0;65.0;48.0;1171;5.3;Fair
3168;3169;94.0;10.0;USA;6000000.0;8828771.0;79146;352.0;180.0;25000;0.0;20000.0;14000.0;3000.0;41059;4.3;Fair
145;146;92.0;2.0;USA;145000000.0;111505642.0;47900;130.0;196.0;11000;50.0;3000.0;1000.0;517.0;5810;6.9;Good
2320;2321;114.0;4.0;USA;20000000.0;3519627.0;41737;105.0;182.0;0;0.0;975.0;877.0;446.0;3014;6.9;Good
1196;1197;120.0;0.0;USA;40000000.0;96917897.0;479453;696.0;556.0;74000;21000.0;10000.0;349.0;81.0;10555;7.7;Good
1262;1263;123.0;2.0;USA;40000000.0;33508922.0;95860;660.0;157.0;16000;75.0;18000.0;3000.0;754.0;23920;7.2;Good
901;902;94.0;1.0;USA;50000000.0;58297830.0;86347;191.0;78.0;0;383.0;4000.0;808.0;753.0;6017;7.1;Good
1022;1023;43.0;3.0;USA;;;33535;149.0;28.0;0;;3000.0;845.0;600.0;5381;7.0;Good
265;266;105.0;3.0;USA;105000000.0;71017784.0;27257;59.0;125.0;0;67.0;681.0;71.0;40.0;914;5.4;Fair
2923;2924;78.0;1.0;USA;12000000.0;72217000.0;216486;242.0;61.0;0;293.0;759.0;595.0;567.0;2462;6.9;Good
3190;3191;100.0;1.0;UK;11500000.0;3275585.0;10735;88.0;30.0;561;34.0;10000.0;721.0;541.0;13160;6.6;Good
4573;4574;92.0;0.0;USA;1000000.0;582024.0;30396;168.0;59.0;0;406.0;406.0;203.0;194.0;904;6.2;Good
2430;2431;115.0;2.0;USA;18000000.0;17174870.0;15817;210.0;68.0;0;13.0;757.0;220.0;111.0;1201;6.7;Good
1520;1521;105.0;5.0;USA;35000000.0;13101142.0;23916;50.0;135.0;0;125.0;18000.0;2000.0;2000.0;23122;5.7;Fair
3346;3347;126.0;0.0;USA;8000000.0;1997807.0;5158;140.0;46.0;196;407.0;638.0;107.0;39.0;823;7.1;Good
3902;3903;172.0;0.0;USA;4000000.0;;165638;301.0;111.0;8000;120.0;773.0;742.0;145.0;1785;8.3;Excellent
1288;1289;131.0;0.0;France;45000000.0;20302961.0;49874;450.0;181.0;0;719.0;16000.0;893.0;683.0;18913;4.6;Fair
2957;2958;86.0;5.0;USA;;17321573.0;3119;18.0;33.0;151;17.0;873.0;691.0;581.0;3646;4.5;Fair
1626;1627;94.0;1.0;Spain;17000000.0;56816662.0;301149;509.0;487.0;78000;11000.0;617.0;204.0;183.0;1289;7.7;Good
1750;1751;104.0;0.0;USA;60000000.0;74058698.0;59232;317.0;133.0;0;93.0;11000.0;2000.0;878.0;17109;6.3;Good
3104;3105;90.0;0.0;Germany;10000000.0;37470017.0;86890;985.0;190.0;0;108.0;1000.0;322.0;270.0;1982;6.1;Good
3740;3741;99.0;6.0;UK;4000000.0;13464388.0;395921;859.0;246.0;19000;1000.0;605.0;427.0;358.0;1686;8.0;Good
560;561;113.0;4.0;USA;45000000.0;21009180.0;45815;222.0;114.0;1000;212.0;2000.0;845.0;568.0;4397;6.1;Good
2205;2206;104.0;0.0;USA;20000000.0;33422556.0;99236;321.0;293.0;0;53.0;22000.0;11000.0;652.0;33903;7.5;Good
757;758;98.0;2.0;USA;60000000.0;50189179.0;61966;207.0;81.0;797;11.0;966.0;680.0;107.0;2018;5.3;Fair
