;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
3597;3598;106.0;1.0;UK;6000000.0;25244700.0;91017;284.0;201.0;0;0.0;742.0;602.0;381.0;2270;7.2;Good
2062;2063;101.0;0.0;USA;23000000.0;12189514.0;30092;129.0;65.0;0;3.0;448.0;143.0;120.0;829;6.1;Good
2112;2113;104.0;0.0;USA;22000000.0;5974653.0;2253;111.0;18.0;158;53.0;2000.0;595.0;576.0;4221;4.1;Fair
1779;1780;117.0;4.0;USA;21000000.0;28563179.0;72693;199.0;222.0;0;115.0;3000.0;327.0;97.0;3681;6.9;Good
1548;1549;107.0;5.0;USA;20000000.0;57744720.0;46961;132.0;119.0;0;34.0;23000.0;4000.0;1000.0;31529;6.2;Good
1366;1367;112.0;0.0;USA;38000000.0;34912982.0;55617;266.0;194.0;14000;5.0;17000.0;1000.0;724.0;19974;5.2;Fair
4361;4362;96.0;4.0;USA;1800000.0;;22764;91.0;62.0;511;88.0;595.0;356.0;196.0;1432;5.5;Fair
4377;4378;112.0;0.0;USA;1750000.0;;28;1.0;1.0;73;0.0;86.0;42.0;11.0;139;6.3;Good
1458;1459;111.0;1.0;UK;20000000.0;;38017;247.0;100.0;12000;24.0;591.0;488.0;455.0;2603;6.4;Good
98;99;182.0;;USA;180000000.0;303001229.0;637246;1367.0;645.0;166000;0.0;5000.0;972.0;773.0;9152;7.9;Good
2134;2135;96.0;0.0;USA;17000000.0;42660000.0;25086;87.0;60.0;1000;8.0;533.0;219.0;199.0;1254;4.8;Fair
512;513;136.0;1.0;USA;100000000.0;67286731.0;67856;345.0;140.0;0;394.0;24000.0;10000.0;1000.0;36925;6.7;Good
821;822;103.0;2.0;USA;58000000.0;29580087.0;29523;121.0;133.0;0;30.0;963.0;935.0;727.0;3150;4.7;Fair
1841;1842;22.0;5.0;USA;;;133415;151.0;79.0;0;;813.0;547.0;424.0;1784;8.8;Excellent
4204;4205;106.0;2.0;UK;14000000.0;115504.0;4820;26.0;22.0;0;8.0;611.0;397.0;315.0;1739;6.2;Good
3693;3694;103.0;2.0;USA;5100000.0;;21049;249.0;41.0;0;82.0;208.0;191.0;32.0;454;7.3;Good
4255;4256;152.0;0.0;UK;2000000.0;;67825;207.0;103.0;0;0.0;618.0;367.0;177.0;1404;7.7;Good
1633;1634;131.0;2.0;UK;30000000.0;50300000.0;68565;300.0;108.0;0;46.0;1000.0;439.0;433.0;2943;6.3;Good
3404;3405;92.0;2.0;UK;8000000.0;1071240.0;3571;34.0;90.0;429;14.0;14000.0;1000.0;291.0;15848;6.9;Good
3048;3049;89.0;0.0;USA;11000000.0;13903262.0;14656;90.0;37.0;0;2.0;799.0;711.0;651.0;4291;6.3;Good
4170;4171;140.0;1.0;UK;2600000.0;3130592.0;10755;69.0;29.0;963;133.0;443.0;249.0;239.0;1269;7.8;Good
989;990;119.0;0.0;USA;50000000.0;39778599.0;176169;548.0;118.0;0;0.0;29000.0;414.0;39.0;29461;6.6;Good
2434;2435;122.0;0.0;UK;30000000.0;17750583.0;93548;307.0;412.0;23000;0.0;14000.0;13000.0;816.0;28933;7.2;Good
1327;1328;98.0;0.0;USA;23000000.0;50693162.0;136580;545.0;118.0;15000;295.0;720.0;581.0;380.0;2630;7.6;Good
838;839;84.0;1.0;USA;55000000.0;141600000.0;119675;216.0;92.0;0;12.0;23000.0;2000.0;752.0;26754;6.6;Good
3348;3349;127.0;1.0;Ireland;;1829142.0;36846;222.0;169.0;0;644.0;97.0;8.0;6.0;128;7.5;Good
152;153;115.0;1.0;USA;150000000.0;82161969.0;142440;505.0;287.0;3000;0.0;18000.0;12000.0;964.0;31523;6.3;Good
2316;2317;114.0;0.0;Canada;20000000.0;;6904;102.0;25.0;971;329.0;1000.0;912.0;544.0;3493;6.5;Good
414;415;104.0;1.0;USA;85000000.0;47592825.0;82731;255.0;151.0;0;532.0;12000.0;3000.0;557.0;16930;6.7;Good
40;41;106.0;0.0;USA;200000000.0;191450875.0;101178;283.0;304.0;10000;487.0;1000.0;919.0;776.0;4482;6.3;Good
302;303;111.0;4.0;USA;150000000.0;34964818.0;39956;186.0;256.0;24000;456.0;20000.0;548.0;394.0;21393;5.8;Fair
2174;2175;118.0;0.0;USA;20000000.0;56398162.0;28649;185.0;64.0;2000;30.0;962.0;593.0;284.0;2390;5.7;Fair
1269;1270;107.0;0.0;USA;40000000.0;30993544.0;58871;156.0;212.0;0;50.0;293.0;117.0;58.0;621;6.5;Good
1429;1430;134.0;2.0;USA;35000000.0;67523385.0;104005;248.0;285.0;18000;0.0;529.0;130.0;120.0;1050;6.2;Good
4464;4465;83.0;0.0;Canada;1500000.0;1521.0;1231;10.0;56.0;932;5.0;413.0;197.0;98.0;843;5.7;Fair
2482;2483;93.0;4.0;USA;18000000.0;;13133;101.0;46.0;0;32.0;13000.0;1000.0;1000.0;16735;4.6;Fair
359;360;94.0;0.0;USA;92000000.0;125305545.0;145350;643.0;181.0;0;368.0;13000.0;1000.0;466.0;15419;5.5;Fair
1469;1470;76.0;0.0;UK;35000000.0;19447478.0;15788;80.0;93.0;538;2.0;1000.0;766.0;72.0;1908;5.6;Fair
425;426;109.0;1.0;USA;65000000.0;123307945.0;39391;171.0;94.0;374;88.0;611.0;592.0;571.0;2818;4.3;Fair
1346;1347;88.0;0.0;China;40000000.0;;2169;18.0;4.0;0;0.0;76.0;47.0;46.0;196;6.4;Good
4591;4592;112.0;3.0;USA;1000000.0;96734.0;606;5.0;2.0;706;74.0;260000.0;984.0;891.0;263584;5.6;Fair
3787;3788;97.0;3.0;USA;5000000.0;326308.0;6632;69.0;37.0;225;18000.0;10000.0;1000.0;977.0;13718;6.1;Good
4944;4945;62.0;1.0;United Arab Emirates;125000.0;;18;;;54;58.0;;;;0;8.2;Excellent
1726;1727;93.0;0.0;Germany;;;4599;44.0;36.0;885;7.0;1000.0;898.0;480.0;3095;4.9;Fair
870;871;102.0;4.0;USA;68000000.0;34350553.0;104066;207.0;265.0;15000;82.0;622.0;591.0;537.0;2488;5.7;Fair
2160;2161;131.0;0.0;USA;20000000.0;102922376.0;51314;265.0;75.0;0;82.0;813.0;366.0;85.0;1520;5.7;Fair
210;211;132.0;3.0;USA;125000000.0;209805005.0;284792;366.0;342.0;54000;681.0;23000.0;14000.0;12000.0;55345;7.3;Good
565;566;134.0;3.0;USA;75000000.0;36976367.0;81611;274.0;108.0;0;272.0;548.0;270.0;215.0;1044;6.0;Fair
3677;3678;92.0;0.0;Canada;5000000.0;6239558.0;5548;67.0;67.0;352;9.0;636.0;210.0;71.0;1033;6.7;Good
2388;2389;118.0;0.0;USA;18500000.0;10562387.0;213226;648.0;156.0;15000;0.0;40000.0;693.0;551.0;43105;7.7;Good
1655;1656;101.0;1.0;USA;27000000.0;38122105.0;112669;226.0;120.0;0;343.0;581.0;571.0;384.0;2373;6.6;Good
1512;1513;139.0;3.0;USA;30000000.0;32000000.0;36267;150.0;56.0;0;17000.0;554.0;382.0;94.0;1068;7.2;Good
581;582;93.0;1.0;USA;150000000.0;436471036.0;314630;483.0;205.0;0;80.0;692.0;309.0;48.0;1148;7.2;Good
1108;1109;94.0;1.0;USA;25000000.0;32003620.0;79141;355.0;127.0;2000;160.0;550.0;216.0;167.0;1102;6.5;Good
1476;1477;125.0;2.0;UK;35000000.0;18306166.0;28130;215.0;105.0;0;159.0;3000.0;61.0;39.0;3142;6.5;Good
1105;1106;111.0;1.0;USA;45000000.0;46815748.0;32544;69.0;42.0;0;161.0;11000.0;894.0;132.0;12161;6.3;Good
3146;3147;84.0;1.0;USA;12600000.0;15417771.0;87494;540.0;191.0;0;36.0;2000.0;683.0;648.0;3416;6.1;Good
1710;1711;88.0;3.0;USA;30000000.0;19316646.0;52069;95.0;184.0;0;65.0;3000.0;697.0;681.0;5706;5.6;Fair
140;141;124.0;0.0;USA;150000000.0;133382309.0;256695;871.0;310.0;0;14000.0;22000.0;10000.0;979.0;34817;6.9;Good
3593;3594;94.0;0.0;Germany;6000000.0;21005329.0;89128;258.0;96.0;0;12.0;16000.0;876.0;583.0;19341;6.4;Good
1708;1709;134.0;2.0;Canada;;7501404.0;21086;87.0;193.0;0;12.0;891.0;460.0;329.0;1873;7.3;Good
4766;4767;90.0;0.0;USA;;;22;;;337;0.0;970.0;812.0;569.0;3359;7.5;Good
370;371;113.0;0.0;USA;90000000.0;100018837.0;156348;380.0;198.0;0;221.0;11000.0;600.0;503.0;13446;5.5;Fair
3655;3656;90.0;0.0;USA;6000000.0;;6741;11.0;13.0;0;139.0;2000.0;2000.0;1000.0;6569;6.5;Good
177;178;117.0;0.0;UK;140000000.0;52792307.0;12572;106.0;252.0;27000;14000.0;535.0;400.0;358.0;1950;6.8;Good
2260;2261;84.0;0.0;USA;20000000.0;15712072.0;13210;138.0;77.0;269;2.0;787.0;555.0;472.0;2915;5.8;Fair
2471;2472;90.0;1.0;Canada;11000000.0;;4693;49.0;45.0;0;78.0;2000.0;1000.0;720.0;4142;6.3;Good
4905;4906;90.0;0.0;USA;200000.0;;2413;112.0;60.0;198;25.0;169.0;25.0;10.0;206;5.1;Fair
4394;4395;90.0;0.0;Israel;1500000.0;155972.0;4702;23.0;51.0;0;21.0;53.0;30.0;27.0;137;7.3;Good
4492;4493;110.0;3.0;Germany;27000000.0;22494487.0;262160;507.0;202.0;10000;118.0;13000.0;11000.0;1000.0;26451;7.8;Good
1823;1824;89.0;5.0;USA;27000000.0;38536376.0;15866;83.0;76.0;0;0.0;2000.0;734.0;640.0;4311;3.6;Bad
3266;3267;197.0;0.0;USA;9400000.0;46300000.0;29323;344.0;61.0;0;176.0;924.0;898.0;760.0;4109;7.6;Good
1192;1193;94.0;15.0;USA;40000000.0;138614544.0;75152;288.0;104.0;0;189.0;3000.0;2000.0;597.0;7014;5.8;Fair
2217;2218;113.0;3.0;USA;20000000.0;31146570.0;55441;165.0;258.0;0;108.0;1000.0;100.0;22.0;1136;6.9;Good
2340;2341;100.0;3.0;USA;22000000.0;121972.0;9868;81.0;42.0;217;3.0;14000.0;506.0;442.0;15612;5.5;Fair
2423;2424;103.0;1.0;USA;18000000.0;26400000.0;62009;109.0;77.0;2000;130.0;691.0;476.0;406.0;2481;5.8;Fair
603;604;146.0;1.0;USA;66000000.0;79883359.0;116159;488.0;388.0;28000;14000.0;25000.0;19000.0;979.0;46726;7.2;Good
3485;3486;46.0;0.0;USA;;18642318.0;1723;13.0;14.0;407;0.0;13000.0;366.0;69.0;13448;7.5;Good
3536;3537;88.0;0.0;USA;7000000.0;;8589;70.0;112.0;0;0.0;1000.0;844.0;507.0;3150;4.8;Fair
4144;4145;136.0;2.0;USA;2900000.0;;4313;40.0;21.0;612;964.0;931.0;416.0;248.0;2167;7.3;Good
2472;2473;89.0;1.0;Netherlands;17900000.0;;30215;95.0;59.0;0;130.0;444.0;312.0;183.0;1243;5.0;Fair
3753;3754;99.0;1.0;USA;8000000.0;10572742.0;2326;21.0;45.0;738;1000.0;849.0;578.0;409.0;2269;6.1;Good
1407;1408;109.0;0.0;USA;35000000.0;124732962.0;286178;631.0;208.0;0;64.0;11000.0;11000.0;505.0;23923;6.8;Good
3911;3912;120.0;2.0;USA;4000000.0;;12981;121.0;70.0;0;1000.0;862.0;403.0;268.0;1652;7.4;Good
1053;1054;123.0;1.0;USA;48000000.0;37339525.0;71708;307.0;158.0;0;0.0;3000.0;745.0;23.0;3768;7.0;Good
3692;3693;129.0;2.0;Norway;5500000.0;;2894;14.0;88.0;0;440.0;631.0;0.0;0.0;631;5.6;Fair
2731;2732;100.0;0.0;Cambodia;;;1933;13.0;17.0;708;5.0;192.0;134.0;46.0;527;5.6;Fair
4693;4694;201.0;0.0;New Zealand;207000000.0;218051260.0;316027;2618.0;446.0;0;0.0;6000.0;918.0;84.0;7122;7.2;Good
4857;4858;100.0;2.0;USA;250000.0;902835.0;1489;40.0;9.0;133;0.0;250.0;89.0;51.0;454;6.7;Good
3112;3113;80.0;0.0;USA;10000000.0;33583175.0;104089;319.0;273.0;16000;66.0;2000.0;904.0;816.0;5628;6.3;Good
2120;2121;104.0;3.0;USA;22000000.0;20668843.0;16831;54.0;98.0;687;144.0;939.0;875.0;290.0;2453;5.8;Fair
4904;4905;106.0;0.0;USA;30000000.0;32154410.0;148334;274.0;450.0;29000;0.0;17000.0;681.0;273.0;18469;7.1;Good
2231;2232;119.0;1.0;Australia;20000000.0;21413105.0;15230;97.0;20.0;0;23.0;25000.0;19000.0;748.0;45841;6.8;Good
2299;2300;148.0;0.0;USA;20000000.0;8093318.0;61935;242.0;401.0;18000;0.0;204.0;178.0;175.0;707;6.7;Good
94;95;121.0;3.0;USA;170000000.0;333130696.0;682155;1097.0;653.0;96000;571.0;14000.0;14000.0;3000.0;32438;8.1;Excellent
1493;1494;103.0;1.0;USA;35000000.0;7948159.0;48999;280.0;151.0;0;189.0;3000.0;967.0;766.0;6563;6.0;Fair
215;216;135.0;0.0;USA;125000000.0;113165635.0;229823;504.0;436.0;31000;209.0;10000.0;826.0;602.0;12175;6.7;Good
3819;3820;99.0;3.0;Germany;4000000.0;274385.0;29203;26.0;115.0;0;766.0;595.0;486.0;269.0;1519;7.3;Good
4305;4306;100.0;4.0;USA;;;508;18.0;5.0;61;84.0;584.0;356.0;267.0;1307;5.4;Fair
1720;1721;87.0;4.0;USA;21000000.0;480314.0;38503;180.0;110.0;0;23.0;826.0;816.0;748.0;4473;4.8;Fair
589;590;101.0;0.0;USA;100000000.0;72660029.0;115687;269.0;245.0;21000;420.0;12000.0;3000.0;467.0;16235;6.0;Fair
190;191;90.0;0.0;USA;130000000.0;149234747.0;114287;137.0;246.0;16000;50.0;4000.0;442.0;397.0;5046;6.7;Good
2170;2171;115.0;0.0;USA;20000000.0;82624961.0;205284;439.0;549.0;22000;729.0;8000.0;727.0;552.0;9578;7.3;Good
3504;3505;93.0;0.0;USA;7000000.0;5694308.0;13815;46.0;25.0;446;70.0;692.0;585.0;442.0;3128;2.0;Bad
411;412;83.0;1.0;USA;85000000.0;84303558.0;65270;100.0;107.0;863;28.0;4000.0;650.0;624.0;6081;6.2;Good
3916;3917;86.0;2.0;USA;4000000.0;17314483.0;14621;48.0;69.0;0;89.0;986.0;713.0;511.0;4073;4.7;Fair
3270;3271;104.0;3.0;UK;6000000.0;2600000.0;11612;88.0;56.0;0;12.0;21000.0;1000.0;1000.0;23962;7.5;Good
1421;1422;132.0;1.0;USA;35000000.0;56876365.0;125219;244.0;83.0;0;130.0;29000.0;130.0;80.0;29265;6.4;Good
4491;4492;99.0;0.0;USA;1200000.0;;24891;150.0;73.0;0;13000.0;282.0;255.0;232.0;1041;7.2;Good
3009;3010;94.0;0.0;USA;135000000.0;177343675.0;70133;214.0;165.0;26000;12.0;17000.0;523.0;183.0;17883;6.7;Good
4813;4814;89.0;0.0;France;6000000.0;12843.0;27297;131.0;279.0;0;33.0;470.0;378.0;118.0;1233;6.1;Good
1403;1404;43.0;2.0;USA;;;2185;30.0;5.0;0;;778.0;618.0;452.0;2255;5.8;Fair
2554;2555;91.0;1.0;USA;16000000.0;37300107.0;29147;115.0;138.0;0;26.0;3000.0;1000.0;638.0;5349;4.8;Fair
2082;2083;97.0;0.0;USA;22000000.0;144833357.0;64742;111.0;64.0;0;11.0;901.0;775.0;595.0;2790;6.4;Good
1067;1068;81.0;1.0;USA;47000000.0;10539414.0;45729;176.0;178.0;0;39.0;13000.0;541.0;364.0;14619;4.7;Fair
362;363;121.0;3.0;USA;92000000.0;110416702.0;307539;577.0;308.0;0;0.0;21000.0;1000.0;918.0;23484;7.0;Good
4413;4414;92.0;3.0;USA;1500000.0;;25332;148.0;131.0;0;92.0;752.0;324.0;166.0;1652;6.9;Good
2637;2638;109.0;2.0;USA;7000000.0;40983001.0;181025;336.0;355.0;38000;453.0;15000.0;10000.0;953.0;27788;7.7;Good
2782;2783;109.0;0.0;USA;14000000.0;27515786.0;8904;31.0;12.0;0;309.0;592.0;556.0;279.0;1620;5.9;Fair
4189;4190;105.0;1.0;USA;2500000.0;5400000.0;183288;395.0;121.0;22000;0.0;15.0;12.0;4.0;36;8.1;Excellent
3788;3789;136.0;0.0;India;;240425.0;1311;25.0;16.0;133;0.0;75.0;45.0;14.0;172;7.4;Good
796;797;140.0;1.0;UK;60000000.0;13082288.0;35565;247.0;123.0;2000;23.0;11000.0;779.0;579.0;12634;6.6;Good
2074;2075;50.0;0.0;USA;;;1781;23.0;6.0;532;;787.0;748.0;543.0;3276;6.8;Good
36;37;165.0;2.0;USA;210000000.0;245428137.0;242420;918.0;378.0;56000;0.0;974.0;956.0;808.0;3988;5.7;Fair
1551;1552;93.0;3.0;USA;32000000.0;54696902.0;379462;571.0;522.0;56000;0.0;15000.0;491.0;355.0;16034;7.5;Good
4657;4658;90.0;1.0;USA;100000.0;;169;6.0;7.0;312;8.0;1000.0;806.0;487.0;3336;3.2;Bad
1971;1972;30.0;0.0;USA;;;23664;60.0;7.0;581;;971.0;918.0;265.0;2346;7.2;Good
3876;3877;133.0;0.0;India;150000000.0;199228.0;7295;49.0;12.0;504;12.0;464.0;374.0;106.0;1045;7.2;Good
3388;3389;92.0;1.0;USA;8000000.0;58401464.0;276746;264.0;262.0;19000;87.0;15000.0;1000.0;424.0;16982;7.1;Good
2366;2367;101.0;2.0;USA;19000000.0;27758465.0;77987;120.0;181.0;0;8.0;544.0;449.0;110.0;1292;6.1;Good
390;391;144.0;0.0;USA;88000000.0;61644321.0;148238;529.0;201.0;0;2000.0;680.0;655.0;537.0;2523;8.0;Good
3543;3544;96.0;0.0;Canada;8700000.0;;33;6.0;6.0;187;16.0;149.0;147.0;63.0;414;7.2;Good
3065;3066;124.0;0.0;USA;11000000.0;;2603;36.0;13.0;608;58.0;338.0;275.0;104.0;800;6.9;Good
4883;4884;90.0;0.0;USA;250000.0;;37;2.0;6.0;199;30.0;699.0;683.0;670.0;3967;8.0;Good
4545;4546;109.0;8.0;USA;900000.0;9000000.0;7584;137.0;101.0;0;199.0;503.0;46.0;44.0;731;6.2;Good
1098;1099;111.0;0.0;USA;2500000.0;;5888;61.0;8.0;0;5.0;6000.0;584.0;559.0;7493;7.2;Good
2128;2129;117.0;1.0;USA;21500000.0;24362501.0;69980;591.0;155.0;0;89.0;12000.0;541.0;442.0;13576;7.2;Good
4411;4412;110.0;2.0;USA;1500000.0;2365931.0;36657;318.0;106.0;0;787.0;1000.0;787.0;642.0;4762;7.5;Good
4748;4749;97.0;0.0;Switzerland;500000.0;;3013;24.0;10.0;344;32.0;11000.0;422.0;329.0;11839;5.8;Fair
1199;1200;116.0;4.0;USA;40000000.0;89138076.0;98535;734.0;212.0;0;0.0;287.0;157.0;71.0;600;5.5;Fair
1924;1925;114.0;3.0;USA;25000000.0;41597830.0;102123;660.0;174.0;0;335.0;11000.0;577.0;530.0;12624;7.6;Good
3484;3485;100.0;0.0;UK;3500000.0;26005908.0;154938;1100.0;342.0;10000;197.0;513.0;239.0;159.0;1379;7.2;Good
1345;1346;60.0;4.0;USA;;;38383;86.0;22.0;0;;23000.0;967.0;501.0;25160;7.8;Good
4982;4983;87.0;0.0;USA;70000.0;;13065;136.0;125.0;3000;59.0;35.0;28.0;9.0;97;5.8;Fair
4292;4293;96.0;4.0;UK;;444354.0;4049;111.0;41.0;166;11.0;584.0;559.0;490.0;3011;6.4;Good
1097;1098;135.0;0.0;USA;45000000.0;53854588.0;37911;73.0;48.0;1000;41.0;982.0;843.0;808.0;3648;6.3;Good
3371;3372;93.0;1.0;USA;8000000.0;;3904;48.0;14.0;495;2.0;484.0;345.0;213.0;1455;5.0;Fair
2545;2546;89.0;1.0;USA;16000000.0;42638165.0;42182;230.0;178.0;0;687.0;10000.0;787.0;389.0;12183;4.8;Fair
975;976;132.0;0.0;Canada;50000000.0;46982632.0;172792;1740.0;267.0;0;50.0;992.0;495.0;368.0;1933;6.6;Good
550;551;123.0;2.0;USA;80000000.0;41523271.0;57038;261.0;132.0;0;272.0;13000.0;450.0;193.0;13934;6.6;Good
3852;3853;98.0;;USA;5000000.0;10429707.0;10483;125.0;49.0;0;10.0;589.0;416.0;402.0;2705;5.4;Fair
4409;4410;95.0;1.0;USA;1696377.0;;32927;161.0;97.0;0;13000.0;472.0;239.0;82.0;896;7.6;Good
403;404;44.0;1.0;USA;;;159910;270.0;103.0;59000;;544.0;183.0;148.0;996;8.6;Excellent
4372;4373;90.0;0.0;Canada;1800000.0;;761;12.0;10.0;566;4.0;433.0;108.0;91.0;984;3.4;Bad
431;432;88.0;0.0;USA;85000000.0;80170146.0;243053;488.0;238.0;0;218.0;17000.0;4000.0;521.0;21863;6.1;Good
8;9;153.0;3.0;UK;250000000.0;301956980.0;321795;973.0;375.0;10000;282.0;25000.0;11000.0;10000.0;58753;7.5;Good
4830;4831;114.0;0.0;UK;;;270;7.0;4.0;29;7.0;19.0;16.0;2.0;37;5.6;Fair
1793;1794;100.0;2.0;France;28000000.0;20285518.0;32103;112.0;177.0;0;11.0;23000.0;727.0;561.0;25387;5.7;Fair
2937;2938;96.0;0.0;USA;12000000.0;31597131.0;97938;605.0;207.0;0;132.0;49000.0;989.0;933.0;52138;6.8;Good
3995;3996;92.0;0.0;USA;3500000.0;25138292.0;66483;452.0;425.0;43000;22.0;648.0;191.0;159.0;1122;6.8;Good
1550;1551;113.0;2.0;USA;32000000.0;37911876.0;19671;47.0;88.0;0;14.0;918.0;845.0;534.0;3500;4.4;Fair
3042;3043;86.0;1.0;USA;11000000.0;23978402.0;10966;100.0;62.0;365;5.0;584.0;580.0;532.0;3850;4.6;Fair
2304;2305;107.0;7.0;Russia;20000000.0;7268659.0;59248;164.0;260.0;48000;0.0;2000.0;749.0;99.0;2848;5.6;Fair
1311;1312;93.0;0.0;UK;40000000.0;4835968.0;4821;82.0;53.0;158;18.0;3000.0;545.0;443.0;4123;4.5;Fair
3678;3679;104.0;0.0;USA;5000000.0;1056102.0;18792;153.0;91.0;1000;10.0;715.0;436.0;93.0;1315;6.6;Good
2751;2752;98.0;0.0;Italy;15000000.0;;80;4.0;4.0;18;6.0;61.0;57.0;50.0;192;5.7;Fair
4722;4723;122.0;0.0;USA;500000.0;33451479.0;17068;215.0;50.0;0;589.0;848.0;153.0;150.0;1164;6.5;Good
3232;3233;97.0;0.0;USA;10000000.0;;2041;18.0;59.0;0;53.0;962.0;545.0;499.0;3465;6.5;Good
724;725;101.0;2.0;USA;60000000.0;93307796.0;85673;269.0;118.0;0;30.0;1000.0;976.0;268.0;2636;6.1;Good
18;19;106.0;1.0;USA;225000000.0;179020854.0;268154;341.0;451.0;40000;188.0;10000.0;816.0;718.0;12572;6.8;Good
1347;1348;146.0;0.0;USA;38000000.0;50668906.0;76016;265.0;65.0;0;278.0;18000.0;584.0;494.0;20516;7.6;Good
900;901;99.0;0.0;Germany;46000000.0;70327868.0;58416;301.0;160.0;0;309.0;23000.0;1000.0;577.0;26527;5.9;Fair
3610;3611;122.0;0.0;USA;6000000.0;8596914.0;23023;148.0;115.0;0;0.0;697.0;394.0;221.0;1517;7.0;Good
1667;1668;106.0;0.0;USA;30000000.0;32154410.0;148327;274.0;450.0;29000;0.0;17000.0;681.0;273.0;18469;7.1;Good
1112;1113;133.0;0.0;USA;45000000.0;24343673.0;91860;524.0;156.0;14000;278.0;5000.0;117.0;107.0;5405;7.4;Good
2866;2867;82.0;0.0;Canada;13000000.0;9975684.0;20033;117.0;32.0;679;799.0;721.0;359.0;294.0;1805;6.4;Good
15;16;150.0;4.0;USA;225000000.0;141614023.0;149922;438.0;258.0;0;80.0;22000.0;216.0;201.0;22697;6.6;Good
3114;3115;97.0;0.0;Canada;10000000.0;52200504.0;54190;183.0;242.0;29000;482.0;852.0;542.0;482.0;2426;6.1;Good
3672;3673;105.0;0.0;USA;5500000.0;;36381;169.0;72.0;0;16000.0;16000.0;742.0;258.0;17599;7.6;Good
1060;1061;115.0;0.0;Soviet Union;1000000.0;;54057;236.0;144.0;0;0.0;29.0;29.0;12.0;95;8.1;Excellent
1787;1788;107.0;2.0;USA;28000000.0;6998324.0;11476;50.0;125.0;0;234.0;1000.0;962.0;660.0;3944;6.1;Good
2642;2643;120.0;2.0;USA;15000000.0;33771174.0;27044;240.0;78.0;0;18.0;20000.0;1000.0;944.0;22383;6.8;Good
758;759;92.0;1.0;USA;60000000.0;50024083.0;35918;126.0;47.0;1000;14.0;789.0;520.0;488.0;2318;5.4;Fair
